Operator,Well Name,Formation,Lateral Length,Stages,Township ,Range,Section,"Total Prop, lbs","Fluid, bbls",Date Fracd,Compl. Type,Latitude,Longitude,Fluid Type from DI,SPACING_CAPPED,12 month Cum Prod,Best1 Mo BOPD,Best3 Mo BOPD,Best6 Mo BOPD,Best9 Mo BOPD,Best12 Mo BOPD
Operator 6,Well 3920,MBH,9532,26,152,96,28,3024276,56911,10/7/2012,Sleeves,47.96250023,-102.9724233,CROSSLINKED (HC),660,139.42,716.1406969,644.312952,532.5608153,460.1760538,414.7874206
Operator 12,Well 3921,TFH,14368,62,152,95,25,14516200,164652,1/14/2013,P & P,47.96253579,-102.7821333,,660,394.24,1377.942143,1347.655052,1172.6167,1064.93535,951.2245233
Operator 22,Well 3922,MBH,10113,26,149,96,14,3143131,81618,7/10/2012,Sleeves,47.7257913,-102.9396357,,660,181.23,1137.475345,899.4849879,728.1174666,624.0959895,553.6050844
Operator 6,Well 3923,TFH,9087,30,152,96,28,3679840,69125,8/11/2013,Sleeves,47.96250045,-102.972117,CROSSLINKED (HC),660,135.67,615.6804734,540.4777559,460.7659435,398.0166557,351.3724523
Operator 22,Well 3924,MBH,10141,20,151,103,31,3275980,75741.5,9/10/2012,Sleeves,47.85045622,-103.9236184,,660,56.72,267.5213675,214.2121411,184.8290598,166.2137483,147.1236029
Operator 2,Well 3925,MBH,6779,22,150,98,16,1548205,41985,11/29/2012,Sleeves,47.81780599,-103.2281725,,650.76142,79.7,421.268902,325.8273066,282.0677186,244.2727738,215.8284024
Operator 22,Well 3926,TFH,10056,20,153,95,20,3346000,77934,8/9/2012,Sleeves,48.05685112,-102.9151342,,660,140.76,694.3786982,619.3841771,483.5798817,412.6269267,369.4252685
Operator 46,Well 3927,TFH,9252,35,150,102,36,4890408,267954,2/2/2013,P & P,47.76217324,-103.6854705,SLICKWATER (HC),660,72,424.260355,317.1926364,256.6513259,215.2458178,192.3515231
Operator 1,Well 3928,TF2,9373,40,153,94,23,8041774,123826,11/6/2014,P & P,48.05306258,-102.7350602,CROSSLINKED (HC),331.466075,242.71,1163.839579,939.4806049,714.8038571,,
Operator 2,Well 3929,TFH,7212,22,150,98,16,1386190,36198.71429,11/6/2012,Sleeves,47.81792935,-103.2281725,,651.12868,41.51,215.8119658,172.748192,147.9454306,131.1892761,118.9951786
Operator 1,Well 393,TFH,6159,1,162,96,24,767000,5678,1/1/2007,No Data,48.83697394,-103.0730044,,660,10.65,81.98553583,67.34604427,48.01665571,39.18109431,33.81273285
Operator 46,Well 3930,TFH,9447,34,149,102,1,2324002,148128,4/30/2013,P & P,47.76080141,-103.6830296,,92.58367,60.51,299.5397765,220.0416393,188.2259478,171.4478779,157.3334429
Operator 1,Well 3931,MBH,9360,40,153,94,23,5763739,273747,10/24/2014,P & P,48.05306172,-102.7352444,SLICKWATER (HC),506.029915,181.15,835.3714661,565.5051501,450.958799,,
Operator 2,Well 3932,MBH,8395,22,150,98,32,2522025,43649.64286,11/17/2012,Sleeves,47.76178008,-103.2415343,,620.23551,90.58,402.3668639,348.7179487,319.7676967,291.6794507,261.8261012
Operator 23,Well 3933,MBH,9854,24,153,97,16,2624731,48982,7/13/2012,Sleeves,48.08126282,-103.158383,LINEAR GEL (HC),589.29077,53.54,333.6291913,260.5522682,199.7096209,166.7433706,143.7568486
Operator 24,Well 3934,MBH,9031,35,152,103,31,4105728,247394,9/14/2012,P & P,47.93792636,-103.9176579,,660,96.7,568.8362919,405.8952444,320.1183432,276.524947,248.2138944
Operator 23,Well 3935,MBH,9353,32,152,97,36,3783562,53225,9/21/2012,Sleeves,47.93516887,-103.0440069,,660,87.98,535.9960552,419.3293886,339.4203375,276.1231646,237.2589305
Operator 2,Well 3936,TFH,7545,22,150,98,32,1880898,41004.83333,11/28/2012,Sleeves,47.76178171,-103.2417174,,632.36635,25.5,154.6022354,109.3469209,96.64146395,85.66001899,76.71761999
Operator 23,Well 3937,MBH,9562,32,152,97,36,4072717,55907,9/24/2012,Sleeves,47.93511408,-103.0439137,,660,79.6,531.130835,399.4740302,314.1299584,256.1655344,219.9978085
Operator 10,Well 3938,MBH,9012,34,149,102,27,3969453,245424,8/24/2013,P & P,47.69653906,-103.7311148,,660,73.17,388.1656805,342.428227,279.2406312,227.9859741,193.5212579
Operator 45,Well 3939,MBH,10080,31,150,101,36,4209224,83196,1/18/2013,P & P,47.76223535,-103.5543717,,609.978095,80.02,352.6298488,316.2502739,257.3142669,228.7968442,207.4101468
Operator 20,Well 394,TFH,6467,1,163,98,31,779620,8138,8/10/2007,OH,48.90800797,-103.4633363,,660,37.84,247.600263,183.936007,139.7545474,116.8566002,102.123055
Operator 4,Well 3940,TFH,9659,29,149,99,16,2126740,29986,11/10/2012,Sleeves,47.73146783,-103.3620339,LINEAR GEL (HC),613.221015,22.35,91.15713346,80.27613412,72.87420557,63.19307473,56.84308569
Operator 45,Well 3941,MBH,9743,31,150,101,36,3760403,85559,9/26/2014,P & P (cmt.),47.7622375,-103.5550025,,601.657635,68.86,380.6377383,279.4543064,241.7050186,209.8984586,
Operator 38,Well 3942,MBH,10019,35,153,101,36,3951032,40332,7/7/2012,Sleeves,48.02492188,-103.6046899,,660,63.84,283.7278107,253.5393382,207.719702,181.9453576,166.3297173
Operator 32,Well 3943,MBH,10692,30,150,96,28,3502280,56305,1/6/2013,Sleeves,47.78708586,-102.9735488,,658.21474,91.64,758.4812623,592.9432391,383.3936007,303.3311418,259.6701731
Operator 24,Well 3944,MBH,9315,28,152,99,33,4179244,91921,11/4/2012,P & P,47.93560668,-103.3563606,SW-XL HYBRID,618.34652,167.89,780.8678501,714.069691,612.2561911,508.9305282,442.4884944
Operator 45,Well 3945,MBH,9520,31,150,101,36,4164503,81835,1/17/2013,P & P,47.76223497,-103.5547787,CROSSLINKED (HC),603.242675,73.01,277.4490467,274.4904668,232.1937322,207.4987216,189.5244357
Operator 11,Well 3946,MBH,10060,36,153,101,12,3600530,80480,9/8/2012,Sleeves,48.08258484,-103.606776,,660,105.79,564.7271532,456.7609029,387.3931624,339.7508949,303.7858865
